H,k,eps,init,quantity,n_draws,n_degenerate,n,mean,std,min,q05,q25,q50,q75,q95,max,estimate,q50_over_estimate
256,16,1e-06,torch_default,principal_width_max,1000,0,1000,1.23915,0.0533856,1.10432,1.15812,1.20099,1.23539,1.2738,1.32992,1.44475,,
256,16,1e-06,torch_default,norm_z_star,1000,0,1000,0.252226,0.0456303,0.125548,0.180651,0.21783,0.251936,0.284391,0.325518,0.426046,,
256,16,1e-06,torch_default,kappa,1000,0,1000,5.16524e-05,3.20611e-06,4.09764e-05,4.63866e-05,4.963e-05,5.15415e-05,5.36622e-05,5.70718e-05,6.45919e-05,,
256,16,1e-05,zero_bias,eps_principal_width,1000,1000,16000,0.0224878,0.0028827,0.017072,0.0183468,0.0201206,0.0221655,0.0246259,0.027608,0.031596,,
256,16,1e-05,zero_bias,eps_principal_width_min,1000,1000,1000,0.0181168,0.000367446,0.017072,0.0174868,0.0178759,0.0181213,0.0183745,0.0187199,0.0190915,,
256,16,1e-05,zero_bias,eps_principal_width_max,1000,1000,1000,0.0281214,0.000817745,0.0262426,0.0269099,0.0275512,0.0280523,0.028625,0.0295254,0.031596,,
256,16,1e-05,torch_default,median_r_star,1000,0,1000,0.968475,0.0315655,0.860833,0.917233,0.946893,0.967982,0.988306,1.02313,1.07692,0.966227,1.00182
256,16,1e-05,torch_default,principal_width,1000,0,16000,0.990895,0.130778,0.689336,0.802132,0.885245,0.976901,1.08499,1.22308,1.44475,,
256,16,1e-05,torch_default,principal_width_min,1000,0,1000,0.798274,0.0290896,0.689336,0.752291,0.780421,0.796741,0.816657,0.84696,0.885906,,
256,16,1e-05,torch_default,principal_width_max,1000,0,1000,1.23915,0.0533856,1.10432,1.15812,1.20099,1.23539,1.2738,1.32992,1.44475,,
256,16,1e-05,torch_default,norm_z_star,1000,0,1000,0.252226,0.0456303,0.125548,0.180651,0.21783,0.251936,0.284391,0.325518,0.426046,,
